GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0	exp_25_smpl_0	exp_26_smpl_0	exp_27_smpl_0	exp_28_smpl_0	exp_29_smpl_0	exp_30_smpl_0	exp_31_smpl_0	exp_32_smpl_0	exp_33_smpl_0	exp_34_smpl_0	exp_35_smpl_0	exp_36_smpl_0	exp_37_smpl_0	exp_38_smpl_0	exp_39_smpl_0	exp_40_smpl_0	exp_41_smpl_0	exp_42_smpl_0	exp_43_smpl_0	exp_44_smpl_0	exp_45_smpl_0	exp_46_smpl_0	exp_47_smpl_0	exp_48_smpl_0	exp_49_smpl_0
fnr	3140.231821355256	526.1215193386184	2308.6781857074775	8758.918458048598	10953.710622891456	9739.00928455293	8737.948392668062	7839.047004693555	3877.2484625977054	3869.458963830347	3035.847756543623	2801.092069591681	1170.5536183759662	12055.485081762812	1105.2055007381568	5792.257620338226	8602.322708036862	3722.094630470718	12130.913649509255	11176.54446578774	9461.093612918823	7873.925398768397	4256.726136955412	1178.5066213673808	9661.038208877782	860.0614416313629	4017.460048246645	5197.472622751757	7817.515339486038	6346.54247706445	4675.228302409862	1411.8890813493915	11774.994576586909	4779.368283733984	524.5469277708706	4783.347506351281	1806.9354593453568	1340.6783745368127	8204.880570736592	7566.92852876878	1685.871275052453	3519.6529917286052	11317.49058450842	10598.03310131319	10941.1777759353	3432.0485438756373	9404.157703184555	5267.366806371732	11282.862868475268	11783.809587393784
arcA	2393.664031166946	2453.0024880980304	2435.184211700865	425.64730526950314	197.10691491193245	319.9946621587985	443.30558851759037	852.1908721119884	2328.401386806809	2296.0038720153657	2402.367613038639	2407.252393125724	2452.4172707524363	16.323917320980215	2452.526228284426	1925.993439001045	653.8615304205911	2322.9683757125736	7.451709443862794	113.4850747827097	553.9249726233421	898.9088876550398	2257.878935762426	2452.2675313210516	335.873916900817	2452.8242720196113	2287.78296301979	1824.2957200991746	1037.0324147607676	1643.237973707459	2164.801936562754	2451.604785632212	44.8657047775374	2086.5788669740487	2453.0024880980304	2243.2726629853773	2447.5103014554775	2452.0902701810546	719.3231169820948	898.6217652102071	2448.2338492434205	2385.8714749657433	100.89967162357104	255.89550908077143	165.45310086769433	2375.206501159606	517.9470675783618	1959.2069476660868	65.16935589244055	45.143021997035866
uhpT	461.9889255939622	2481.6611131886993	2646.023681338883	139.98337579745206	2616.588484846776	678.1478537688171	1695.4759341614956	45.7553403302956	478.2092677376136	2381.4579889920606	2220.287554163246	1517.9936328060733	1917.2182881831081	535.7528488210535	65.07272050689872	1528.3486467639964	2385.5813343684536	78.88585935512131	1146.7106617772115	1254.2477126290605	1299.31641869157	2033.6620328402644	2580.0095663529582	2512.2998558654067	341.3202296734772	725.392560340767	1402.1644490322426	303.89250304234895	1888.6677853844928	186.91568813087986	421.82029175092174	2348.7836767475574	2274.1079137302995	1224.8177473533588	1515.6144185256294	250.61192883238033	2648.906639227626	163.68042769333087	2244.0286188677987	979.8087724605531	2571.8631642665737	333.25013842120444	1165.5072654682388	558.1740531787817	360.4631010216427	53.29807825651054	1034.020235903596	28.413573161285765	2614.5750082988543	1543.8833495654717
malI	2712.034216931837	4765.092430097393	3904.8974191666193	5023.939993692482	534.0051250905191	1886.2316467975284	2290.5498419534197	4216.015718974391	1574.6523465853563	988.5638542324025	4851.157030588943	4956.5678487366185	1568.8899829581187	1582.8979242786668	235.87913680848135	4948.158549199513	684.3760104622619	2605.450738194106	4639.795491808318	4429.0929303049215	4367.351025513993	1483.9691733812426	841.0412641616962	2874.15978942574	709.0690615740708	4434.457200063334	3225.607919640277	1544.0203177332642	165.27386633561633	392.1388007486684	2212.5919616662804	4818.94367335726	4525.445216974905	1130.8894916036052	44.83942861954704	4714.187411198566	3538.2079513080007	4762.88131046129	4168.909291272746	4729.220866682318	2518.3734307448494	911.6696095368359	1167.3713267657113	4589.440003534954	2853.8502781530897	2608.8379183372963	4590.359862905709	1497.009091631791	3926.7534030473194	3343.196248768826
rob	322.403736825138	27.528694160853643	167.03126684965304	7.901561405211725	240.52528720710632	297.0138282882611	441.4008160770803	349.3101321164529	241.40417545603836	127.0638197515256	290.1922006672916	337.9068535069712	106.004459170618	261.1550638113001	210.16383994205242	45.34586953086187	157.11333388902023	321.9431421054719	220.13509084271772	288.5839296165583	55.3681504076425	93.3344810555793	87.61590796473554	405.31049550463484	42.71284123414994	407.50186827745824	98.19738387428025	26.937161628507184	93.26686172611852	446.1553281436532	185.49504647057017	295.03798206968725	8.94610644663652	180.936474505226	28.791790945641765	371.24195340803476	382.0395519706367	109.06421088621954	300.5805160586667	101.72574591815678	171.58980701109252	41.843076691748166	160.74973475303074	129.87798931419363	154.98171876058922	223.54090842779695	59.91183733206219	171.8522798996491	381.6794548080964	340.8350954633343
fumC	121.23088807402767	449.8646670853273	307.5373853601519	450.3070879325603	194.563440669041	108.39317259560569	4.708529291485332	78.9389874317486	206.23373598651935	372.859499991898	152.33816387775232	40.17110644104289	412.15141448084097	194.5307802445233	258.86051448054513	448.0543353557361	366.1838161961908	77.93312819393802	202.763937505422	136.47918475288293	443.7742869123455	421.0360779809339	435.1461673622296	19.459073114111032	447.59557686184365	14.872653403966934	411.94093596524766	449.8146056053829	428.0861127039605	2.6807520085453906	296.6477403264005	153.82906221115022	450.30432823075165	305.22478206321614	449.58409219566863	42.3018563405867	48.21633574240133	429.2221067019918	78.17280659439669	414.16070502635426	305.89884482374987	447.89264873263187	344.4440263001204	378.86731375612464	383.7498050032561	210.43086960088144	444.72739857280175	277.8091771532833	20.82299530702891	58.44496271930103
cysB	1169.8322750143197	1162.2936346719525	1248.033048521202	157.48866975298424	262.6312476262803	143.4156946203245	776.2044819343862	1271.8800123505046	630.406936556747	714.3645175337692	951.9059346232573	33.883138842474764	478.3209882667051	438.0701640783566	68.96073249868155	12.137784311744465	1324.7364388303874	1587.6716653332028	273.7485693553732	539.4771742280866	712.5014123909497	146.84180930651684	1376.85613907554	19.45008663993907	175.55323770955323	1112.9312631208584	1164.182141801729	1151.859496696947	1499.5981081656569	837.1987459060863	426.4489496900528	595.7037473959953	1145.6038397795517	552.7605579258379	939.5078521755062	1613.6487431641	197.89897428793338	566.7788666065236	260.91991593176516	1539.6387474724436	447.9089800669769	236.77879150544717	1198.043069864302	658.5812781201494	1184.3088724359413	1070.7327177518303	638.2294797919972	194.93235024822079	407.416868961259	1066.6246677931028
cysJIH	650.9142787288985	599.4928435160126	626.968957989255	3676.3505864068466	3622.7711959708736	3678.32717249067	2325.8188118825906	592.1224434416021	2871.717529745451	2196.5993376007755	1394.4137552725315	3683.0096156942323	3149.3724405388666	3515.986631921638	3682.6097331742667	3683.0096156942323	363.4207606582002	37.027415333970495	3625.7447870440596	3133.2604775966643	2580.8750510698314	3677.8113190249196	341.2804659776986	3683.0096156942323	3673.1500501558385	908.444125414488	890.7253276736586	612.2245243918272	159.25638539812434	1984.0627649992289	3550.566646987518	2943.9849701816984	521.1659558099275	3049.9891653542168	1410.5847549218875	4.961985722363871	3663.99179562141	2963.6904513161203	3641.796755186973	108.92592265450077	3432.548489623132	3656.940143605133	742.0504333073902	3066.0611473960166	943.0161652080394	1126.2893457256812	2467.575893543844	3667.1681103254223	3525.9139918138294	1523.651907892054
tnaLAB	2008.876713385488	58.94945099647755	0.1522271365410716	2101.354866498047	4.280789536026099	1915.7454290348167	1097.8861305344471	2121.337724620363	1939.4773839328245	124.62806796292176	330.4723653752122	1397.6596262329285	852.2109198228673	2047.6866418514942	2118.7595435388907	1258.511195637399	100.96394048769069	2115.9457581672955	1622.641345273109	1535.6475668825835	1676.278468010016	509.8843908884788	15.323203499005972	95.49986228045593	2056.847103592114	1831.406952163041	1316.7090244336794	2072.0338086300058	795.2648881019868	2092.2172686986114	2042.3225394189385	129.56536326960713	144.2180956606075	1783.3165975104248	1128.0345372016889	2061.094938579068	0.009913649367793065	2097.7783243789513	208.71088910030542	1802.260000817531	18.539049422324112	2031.0919174125725	1373.1031838028252	2013.3154748364313	2039.1917308145669	2121.2775274351184	1811.534591975781	2125.2641002793493	7.891364522927904	1058.0232874080953
rpiR_alsBACEK	191.79002899780005	7950.543816965004	2184.1339366026996	4947.374832755876	2351.181451100769	3929.034514730189	6472.488714018869	247.00605687029184	1392.9045911860721	6572.165947783599	4983.872869241122	8054.366758195709	4663.647230254033	2891.771680233634	9981.238589857796	3902.5915171314273	4028.7575105595415	9943.37156578391	3442.307710325563	91.6306123246125	11079.312256481599	7402.431798522549	9002.394580053084	5184.093101315243	7152.767252390633	3319.5032680753407	6479.483333861654	10251.449107956605	8192.556864255761	11995.772607993818	5500.610727915581	45.17499031111179	9470.279033255012	6185.978251516267	10630.688606669419	10409.448873907015	2334.1007501904537	11000.967080756864	2343.2972473657915	4072.6955960902433	5834.421715902153	9142.207208151352	7859.2071289428	7193.572963473087	7284.630367815617	3987.3145436329874	10679.642099690327	3051.6142346838624	8464.553764281394	7240.209636991178
