GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0
0	755.2187098575613	180.65557104638245	34.03557500373512	225.14037290558193	610.6445197376049
11	1433.8759622085877	1468.2683818470282	1094.4206861221335	1846.1276307163578	665.2699680950366
12	83.47909760559801	1301.8052964047001	1357.2990590858412	1266.9574074153704	167.26088769636294
1	1114.7907482570633	186.7930307627734	8192.82256427225	5320.133169976992	8854.378352735344
24	6830.8982640853155	9072.605782336406	1525.6498647192266	3954.0517533095385	904.6599105042661
2	1009.7190174171093	325.02068459729725	762.0813490941799	779.5881363808196	432.7502150804083
21	24.9466601351944	949.1799533035555	157.17284897941835	100.03156065481484	55.148743428198074
3	2121.465458286356	589.7259643661755	2263.2602945114686	2377.272683497964	2490.083072572397
4	631.855710354038	3852.9212070429985	669.6193588159756	631.5257655172583	488.497161958096
19	2451.0177797530278	314.45644671624086	223.8402328435983	1250.109561392973	209.5121266367561
13	2866.079973337437	1461.7072242067247	459.41752647962363	733.3109268665459	11214.87449156687
5	1228.7312406416531	341.9103151994361	2578.8591164234927	1627.2658455117685	709.23913601603
23	177.460326044149	538.6404549794452	2.9540029613987944	18.806436881201627	461.44818710568586
6	29.369825430213474	35.79017555438889	40.80918239771209	9.812556210120368	17.027753207536566
8	5415.9268899346325	4637.7176603493845	4177.850552158362	6131.042407520863	5988.4585898788155
7	652.9217124532104	218.08136042295268	935.5439269642815	894.2584314823094	106.83443821175285
9	215.46895141130827	545.7765668191781	33.45331428811535	63.17385267372279	593.8289549591498
15	1886.2691908992608	40.50685812649819	4325.383548393381	3926.1687586614403	2.16471387707265
18	453.410923932384	55.9868939613106	697.8679315494659	692.723028818683	10.83870091694399
10	3024.9531110071316	4195.229221382746	4521.599012040994	4033.802741582739	3950.3025615027823
14	8135.6196344795935	9136.404589311143	1296.8682525180213	7275.717991864149	3543.9214514460346
16	95.91819823042118	84.56177784079803	729.5173967339306	215.24146762668107	700.9195554917748
17	121.37975106753213	7488.317484540513	5646.013758548816	4030.5406729890296	6725.32066299044
20	494.93352315865945	37.643423406769635	504.08175295359496	1525.7532278577462	1634.920792162512
22	535.9333630554304	674.7684255025322	604.2192406110809	33.26012461053041	14.0295432630895
