GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0
0	0.8144802004312893	0.06096401142830782	0.224829337784464	0.05610091651032662	0.3338075522134273	0.686167488802158	0.7776899709945069	0.08752653847854615	0.946354698480064	0.5320751180071878	0.7632200817258149	0.4014563868570348	0.47699873411767224	0.6495981788366414	0.005555026978517546	0.17552538782860677	0.8121119581846129	0.48242198670873426	0.5655891807195951	0.8536609300099274
9	0.1838151821531277	0.22080459934488117	0.9001733129219641	0.11792182963399069	0.7445884231462028	0.2656624407476606	0.24359986921476387	0.3243582636247882	0.12301544061309545	0.2115614623606411	0.30872838470729486	0.4080366340443728	0.532042991052396	0.0614836961772675	0.37165735056780574	0.9506542104774455	0.25687996866515583	0.1589653573432938	0.24182691485758018	0.11765083931222572
21	0.03471629513902968	0.9987858099820466	0.8619462940207824	0.9988163038578267	0.7072244751015917	0.11788257758024805	0.06707998426297845	0.9964507291398719	0.008370723248572022	0.29063750286938017	0.1004693835446769	0.5334122540697169	0.4219111290648424	0.14949081905135767	0.9999995	0.9528018462214205	0.059804830507368324	0.40952099575144263	0.25615355222172487	0.04630443099622411
1	0.1177216013836449	0.6075927551306497	0.5411692173492605	0.7238003407066945	0.6528535381777625	0.7616002786906484	0.920325488557909	0.28388862038377793	0.9515172917251703	0.21896523356548495	0.8066950685255752	0.3477416823355258	0.49538865018162104	0.031143542177655078	0.30058392963644215	0.9857416990608167	0.4608519157855332	0.27321767127689267	0.3195604791745346	0.5208231465881084
11	0.9985982423590162	0.4305753920385094	0.5690813524298755	0.07936154004322368	0.02582213908330429	0.18319353896943616	0.014260346643440391	0.5031119169605291	0.10302717480819518	0.5579458335477714	0.005706000260858171	0.9202399678780332	0.022044600158723046	0.7435304092805648	0.48965328731441365	0.03638720816292724	0.7594954496615722	0.17810444275372347	0.3463153084697628	0.11116683269292583
23	0.9969322813256843	0.09677795407215072	0.24981386368866093	0.00460680647315875	0.009506109006494387	0.005773010958416006	0.0010936618493833936	0.5040916099978003	5.012645976496563E-4	0.6465045801550533	0.004150308346105108	0.8206944959961018	0.02378522772699044	0.8772363629608902	0.4483906970800896	1.4617219092747223E-4	0.5237140899726069	0.05733506763407957	0.14370684256301586	0.02101242818226797
2	0.9877603211011697	0.649999641603729	0.7177260114307468	0.3899062500669807	0.23172615908518657	0.564095723516477	0.26739360018120817	0.4364873780021133	0.6746863374470643	0.444051645271954	0.08801395646052307	0.8143495698346627	0.09899018561120021	0.4979135111952951	0.417889062813696	0.4109883412103851	0.7495504942063838	0.32822684073491815	0.37516337890324286	0.3092644355639548
10	0.004842025383754288	0.20176445693120532	0.1663116981628991	0.524623913157987	0.8230112290221421	0.29768627464179176	0.6919415251720625	0.40629706076900957	0.15838481651220698	0.41587813835025955	0.9686683897544837	0.07402429567815269	0.9522295140045148	0.360511787565492	0.4529714719980669	0.5118923514642136	0.11964674059016037	0.6488447610590041	0.5538354220581099	0.6671273427515756
3	0.7742973340000163	0.9219654891723019	0.7665244780080198	0.7862323873258961	0.08396174612270088	0.07853670588132973	0.07231524157843681	0.09876659114495813	0.16613675062412037	0.13962096031871873	0.7799224055363051	0.8902524384912307	0.6800128906561681	0.564787490029097	0.10299324891016268	0.6112446611396884	0.5941545652240007	0.46470852652198696	0.6009294194832764	0.3498953066009791
7	0.09045508840868471	0.03956193198009754	0.10212521857811588	0.0789849868779948	0.9584520751170723	0.9496371041830322	0.9672424445905597	0.9536892222782497	0.8246504188405074	0.8640905162064995	0.11924191050757975	0.037247347964270636	0.14402825878281242	0.2693438539993945	0.9287665328475057	0.23006103352055043	0.2436753593544619	0.35552102312140826	0.27604598164438815	0.5530749229980298
