GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0	exp_25_smpl_0	exp_26_smpl_0	exp_27_smpl_0	exp_28_smpl_0	exp_29_smpl_0	exp_30_smpl_0	exp_31_smpl_0	exp_32_smpl_0	exp_33_smpl_0	exp_34_smpl_0	exp_35_smpl_0	exp_36_smpl_0	exp_37_smpl_0	exp_38_smpl_0	exp_39_smpl_0	exp_40_smpl_0	exp_41_smpl_0	exp_42_smpl_0	exp_43_smpl_0	exp_44_smpl_0	exp_45_smpl_0	exp_46_smpl_0	exp_47_smpl_0	exp_48_smpl_0	exp_49_smpl_0	exp_50_smpl_0	exp_51_smpl_0	exp_52_smpl_0	exp_53_smpl_0	exp_54_smpl_0	exp_55_smpl_0	exp_56_smpl_0	exp_57_smpl_0	exp_58_smpl_0	exp_59_smpl_0	exp_60_smpl_0	exp_61_smpl_0	exp_62_smpl_0	exp_63_smpl_0	exp_64_smpl_0	exp_65_smpl_0	exp_66_smpl_0	exp_67_smpl_0	exp_68_smpl_0	exp_69_smpl_0	exp_70_smpl_0	exp_71_smpl_0	exp_72_smpl_0	exp_73_smpl_0	exp_74_smpl_0	exp_75_smpl_0	exp_76_smpl_0	exp_77_smpl_0	exp_78_smpl_0	exp_79_smpl_0	exp_80_smpl_0	exp_81_smpl_0	exp_82_smpl_0	exp_83_smpl_0	exp_84_smpl_0	exp_85_smpl_0	exp_86_smpl_0	exp_87_smpl_0	exp_88_smpl_0	exp_89_smpl_0	exp_90_smpl_0	exp_91_smpl_0	exp_92_smpl_0	exp_93_smpl_0	exp_94_smpl_0	exp_95_smpl_0	exp_96_smpl_0	exp_97_smpl_0	exp_98_smpl_0	exp_99_smpl_0
0	12019.2404169119	10420.69445646031	441.0157180147572	7677.722069576621	1266.0571436104192	2439.2037574744913	3898.15006751292	8656.802506485034	2254.4853187884455	10386.686564888332	12752.855145108924	1241.3017100753495	6813.205222023249	2878.7932878754636	6503.780781079478	5057.039021270264	5558.434296580611	3561.654803516254	4506.471507360376	9161.720650972149	10047.531867163509	2106.5727455631068	12471.979052402092	12740.475310834445	847.1212320958628	2512.233272509951	1178.6792010619301	9734.417973832897	3160.577045819642	1983.4132706946605	4176.227620016828	1360.198315994322	2112.7318886324765	10478.728557309105	10531.91173808303	1710.9499524893563	2038.6772699051792	1959.3416135837963	10593.830238197075	6414.162027141873	12311.570433847784	12000.929283542613	12000.705800806983	2395.263441783689	7658.754345406246	10679.07719021956	8540.918396713507	12255.253740145943	6068.876101000812	3660.049410923774	4874.611375419962	1827.4042723947334	4917.834483239535	3220.0527730548565	8859.03117310734	1715.8256088165604	2402.5474501556323	10738.820937469749	5881.809736605042	2373.855338827785	5240.072894158578	3186.61461349969	8420.667192400178	7162.347327089553	846.2768985472978	789.4868265766607	406.90875453512064	11656.993679632635	7625.439285762487	12943.61991160324	11916.52179263701	5929.335271947384	12912.118128510923	12067.736784310115	797.3114719084315	9938.917358761362	6257.887047679456	4741.904670931296	830.0989642733615	4481.951390054402	4038.291314152487	4732.786929079529	4692.395801162364	10398.656659908069	6287.437490197955	5239.392668281347	6479.673431028857	2754.7381034183745	3282.998097841867	3506.563952380008	10039.676451929623	13014.45950071757	11161.270038810428	6858.07758314487	4252.2088317141115	722.5366812355757	809.1910842098116	12342.62327164501	11358.357793328838	12824.749148592153
1	146.880215152156	348.98819479082704	2713.822148668904	712.386918594086	2690.210591375635	2261.223365507217	2005.0251007548459	584.3065996794081	2460.1248599352825	239.0712640334464	34.97325152718056	2662.450436499593	1008.3235743345363	2094.0003873674746	1269.1538311387244	1637.0147370807224	1447.6869435536585	1999.8339802911612	1765.7282381957398	463.67460393945055	724.8189322706546	2301.0433443976594	103.32786973767294	72.59118953337271	2691.9585968670294	2460.7879068982716	2655.9112237189374	563.4807570225298	2225.4468111379074	2660.045999692734	1782.8452976214528	2677.387727686502	2581.4098694781687	232.31369073674873	268.96858436605737	2452.3136355176803	2626.480996299289	2437.7090251512113	229.86083229647141	856.8961361806571	93.20663142787843	92.46766726060929	129.96983068714107	2467.550833381907	1003.1330353416523	404.3696308150837	691.9802587805749	110.22666404376119	1677.8660115695877	2190.663462389379	1607.160164875068	2553.459001004289	1884.352396988612	2509.03110779633	691.4928334293273	2570.445988868626	2600.3050941620777	484.1729417053017	1401.833274056684	2536.223310390064	1543.6638150936078	2079.513424306262	672.4032677452681	1279.5336217980928	2698.9437802799553	2700.874825376963	2713.4184592169604	130.68609808147207	634.717296817931	18.52260463062672	86.08511586101109	1362.7875735905773	23.60106262032631	106.35675473821573	2699.25263180347	407.1516196239892	1229.2848678222856	1420.086396489905	2701.790661190284	1431.3690028639614	2338.5255558386666	1516.563223490702	1954.6987940527072	255.6105599555093	1552.4205785108918	1365.4001025032192	990.9917338162934	2286.465747921397	2137.4616591045897	2252.3998914875924	361.44557889023486	16.18403679108987	320.70597170523524	964.51825446218	1997.1978837994852	2705.6752809457676	2702.2203214926467	92.48055417734052	202.81083959997747	40.923343518691475
20	10378.928627993022	10349.956480160687	1.7794962936256993	8684.529232629331	18.05246352575251	156.76360452976675	811.6539455058496	10115.542391409066	378.4321702865885	10375.669240416726	10379.240187643638	37.22314699090828	9347.941005398243	688.776567078331	5013.199780808791	2821.296620943699	3001.409549983962	662.76438773533	1909.388602548368	10322.637750094756	9706.68203580161	228.6446121746383	10379.240187643638	10379.240187643638	15.156798641005096	162.87192074612028	43.8398016643733	10143.231706433073	399.89603349739446	60.4006476041336	1961.2800937155196	27.741104239719693	79.78720050645637	10376.230972841067	10373.608486083303	83.21754433509965	72.59745700027607	137.90338545663337	10374.750672917815	9764.292027043275	10379.240187643638	10379.240187643638	10379.087002629674	210.13705131675104	8655.298166100918	10356.010953207826	10160.615980903096	10379.073044125616	2323.5605619846815	381.08903283510483	2073.0305713389166	72.83646298914792	1205.6732768576233	392.72602337529054	9960.687489106027	116.42678611637727	120.41867185281146	10329.5603513081	4800.305480527323	115.40288754009205	3364.147416153982	753.6220671484787	9918.479825513114	5131.453537967934	11.115015824998977	12.259575205277443	2.1401430535688224	10379.002938646996	9983.477974564286	10379.240187643638	10379.240187643638	3435.913763425246	10379.240187643638	10379.240187643638	9.295102598646661	10348.711056170214	6235.600371030055	4162.676670740698	9.5351809704671	4466.497258409179	369.0589130457211	3461.6219969818335	1733.4377549592855	10370.218559214676	2731.4540924662347	4664.327463294824	9109.366448548486	487.16316337905806	524.533406458949	428.0055555001019	10357.16501627973	10379.240187643638	10366.570417338935	9272.02566195276	1464.9795045494639	7.5853009896059636	8.461417476864543	10379.240187643638	10377.899856474116	10379.240187643638
21	5000.730249111344	4919.375988334887	1.786789868265687	3883.4451256566713	20.114129296473866	142.3488528512341	654.4948770983834	3700.9340453288632	482.9131714094796	4973.385862010522	5009.744936021249	43.35594956720709	3507.5916952289363	590.5743301954207	1932.749312715882	1566.767174691477	1756.7047200451561	550.3528999348977	1420.119822984952	4844.763578607518	4444.567156505076	227.774046795355	5006.917516390985	5008.777485010556	21.419560143092887	166.69881816483536	47.229420707050494	4711.324904876087	404.64887065645445	59.777850540807314	1361.7432585053002	35.05244642170749	92.01208978552651	4975.208880026878	4962.836088959149	87.43578025625315	116.38653554429771	156.65548886337578	4958.1870115994825	4038.009608580271	5008.081458472998	5006.649133174274	5003.607661550579	222.83605165751933	3079.06470288988	4890.154052504969	4557.878498193282	5003.328812944151	1553.45612117394	372.6230434959806	1374.8916056774779	96.38565482705893	825.7000878888741	455.44321088128333	4087.6464409844602	115.71204519387088	167.40714331917704	4714.977721005881	2508.4759359347277	156.94590575269018	1959.238834409931	637.8568026034759	4144.056747501295	2089.794668399211	13.461085108885696	10.592578521241814	2.5167613281518246	5001.511984668895	4524.322189891416	5009.927908467261	5007.447984933284	1857.9733182177574	5009.927908467261	5006.69161732192	12.539944441792215	4823.4668667875185	2378.839092582798	3211.3140502294223	11.890213722061985	1922.5297580901074	451.6235095284799	1986.7428819025563	1114.3344979154808	4935.46350808161	1728.0646426766575	2086.943231279586	3167.7734144592887	472.1956157313366	485.15114601765555	335.43776690344845	4883.704824619323	5009.927908467261	4927.253064202295	3208.3189080582065	898.6141655720231	7.6591568999124195	11.451429878808675	5006.827597446977	4988.603138606814	5009.487793766077
2	1075.8926121424886	7655.272350877682	5165.345897585132	3616.9578402956	6384.5629043366835	3903.376626129583	6890.894029434905	7691.080784299176	3927.98789533032	6815.871438284808	4865.252164021847	7860.889417605642	342.300704444203	8261.152955016376	1159.0935986786342	8854.705855836582	1636.5060062397763	3378.1899721274585	6260.7353726819265	4698.885714914504	992.8553040808389	4878.076321634416	1815.5206991473601	6286.879494769419	7812.611054173891	1117.5124581280047	6678.704310192734	2231.856355411719	3807.454685754396	8370.522388628991	7798.864952921266	5993.028948816536	8071.122092627211	7790.793512721395	8615.560097131896	2731.3803265101083	3208.1402236253184	8406.493760627003	7059.491883144938	116.03896474229904	8216.80471425996	446.5079454905	8882.547624193387	3107.037369772837	7023.746002076233	2373.3969374481658	901.7033249432334	309.4216744663012	7716.936803820599	1862.4628658099602	8567.854748615584	1611.920685459722	2217.801294430452	6005.905567417122	6613.449689908549	1762.8419910116093	5652.442271427763	2166.5945871363497	2236.7451388373393	3209.8329458937174	403.97820308012916	491.0983745337895	8616.874135891827	8591.732284696163	1995.9333221228044	770.8818371005219	5384.382749099204	3500.790888513601	8633.660994432732	8548.552179735125	5729.803998922598	2292.21904539359	1148.2953497948301	3243.1878040589463	6470.639748345357	3700.43058900853	702.9333632127704	6352.795215964302	8563.616263122607	2393.993337397808	2509.013495609834	4909.862604719487	1121.5637665703998	6908.018370354793	4099.339756439922	5246.302669246486	3047.4147441508517	5756.353859461245	7545.631189289966	8685.795559745047	287.7319074997685	7655.417581116112	6087.216136898922	8022.851971154552	8512.967751967519	6571.287237810908	34.92794557767615	4471.70815685586	4583.406387189067	7031.270891233222
7	148.32724533590874	13586.809729605002	8791.317317541385	4549.469441695727	11402.640092296493	4490.43503874788	11013.02057011511	12612.699966969507	5088.908778862202	12444.462598166729	7091.964806482977	11526.755531094977	3.3934774205827867	13544.097480812812	191.52814289151786	13943.276453183516	327.56184595998445	3269.7585480324688	12311.403697683174	5885.889131386733	122.5141460580083	8522.384343107675	674.6866888389578	11736.697266243647	12926.80427460209	127.37437684899301	10519.431590368124	1254.2861390521214	3802.125818956543	12910.30748495945	13432.341294261048	9785.010302872406	13325.572283179561	12540.647210021945	13587.756275385545	2430.239662086211	4509.333429740444	13389.516534181235	12043.100396705675	0.07186260446542474	11510.230620518032	7.536110758636308	13965.854771982551	2990.668619934161	10464.785026373644	1365.975523561007	71.66215463900484	2.7684110418127736	13511.346781950366	760.7305509427113	13045.177342519126	458.111592879672	1303.389490897763	12174.39508021682	12998.415789793462	741.956145870724	9211.847784849084	874.8216613681506	697.8983026806029	4062.513482904089	4.402085573849651	9.399882456526267	13771.493456856158	13769.744949518159	567.9690797832691	27.460582985361203	11286.612520343297	4258.718057872995	13884.623888839396	13667.3341331112	6844.240270267689	1391.4764894655268	136.28766026842794	3855.658869124195	10539.175860620138	4187.177803997408	29.191883352417662	8759.688191907655	13387.17872965522	1065.9725367215528	1554.4380733504454	7749.238859807201	115.06858308878996	13104.388482509812	6683.404389518432	10172.872758608108	2667.9140774617345	9759.540594744376	12152.288397101374	13896.59452234265	2.133653027812656	12207.470012915071	12173.386662436773	13420.516291253707	13407.061303441626	11084.4340502439	0.0013881321672812692	7942.878100091584	7178.104042104195	13409.98319456314
3	13784.598284687885	2111.325717154621	7128.130632127009	5955.985391183416	12308.0426478125	2556.3297391367037	12934.959751835042	7016.678528429017	4036.9579809929164	9787.261658055086	6980.118361431679	10076.945742260581	9485.382681216535	7527.888400825978	9076.414111108072	13926.159093800505	1548.7805220905711	7615.87271051458	1141.535898012564	12191.389512820406	4052.1674714963915	9535.2420860906	2530.4838388548865	9950.75076607209	11464.67872909198	626.2267735459312	11972.432924987066	713.8889926939576	11600.81272093837	13090.82934104394	198.76326100122006	7529.525175694579	6317.579630944669	5810.306812887474	552.6804117391652	12592.863344309071	10988.423059939594	9027.55621127096	5943.146017472695	8308.613906728455	6745.150641666244	13170.982634874732	7778.65724320598	73.33858051351419	13706.565874155149	5693.268148061141	6162.204969364828	1888.1761307807103	577.026705249586	1787.9833600515562	4332.95208504414	5224.481653124249	372.8072663923655	4180.595262818214	5368.827381953341	8454.911640753495	899.6820364537343	7723.786651193386	11810.703381098896	3934.8381897929944	13547.39691609615	5875.003983609176	6092.902427679784	4188.381710530654	7993.599688223221	11223.53739805931	2073.4662907116453	4007.4166440028757	964.9919077388361	11423.557600418357	4431.2356454121045	485.2708561477778	436.7944026249925	12936.83413162437	2801.0597699420846	11533.299384520966	4589.9992913578235	4764.117614485039	13135.661141373113	13810.54050249433	6177.446668280721	2408.8784104604106	13897.221675288105	6059.755047121091	434.2586424681769	5459.021470460277	3216.439683425762	13335.162936267248	10926.326346529093	10474.730303086946	12561.057539247182	2046.46641424718	1114.3302465730642	9389.881860629099	5223.422315512691	8319.772748108142	13708.971100595949	2825.4672566629874	9451.24105529681	12376.454159591967
9	15474.092196611728	132.6496100852208	6474.426777563558	6241.441323501591	15118.111368180307	291.1399432241818	14382.220347452656	9096.890338432499	1949.5924229080313	14077.774208168334	4665.182922852139	11260.741147221383	10415.641982685329	6217.355852283047	10050.8100651618	15519.14007864782	31.141285891677743	8099.090323917162	13.644223370131222	11406.835695282418	1356.0515224305766	11577.145334732113	184.3647765714768	12298.691591194905	14145.0462425998	1.0573940508570139	14806.291875996052	1.2425801967676307	14903.542390143224	15133.004580130177	0.009510961669176749	7446.078213811392	3933.2408137720126	6335.058379081066	0.4980467390268167	15217.606329650016	14680.136871756344	11777.945228198934	3278.286374570629	8750.605022777221	9611.270746015864	14907.026560744402	7503.495561794848	2.3712450003199187E-4	15443.280770114758	3760.69269405391	4923.419942589143	71.1781582098148	0.8058143619633209	66.20216151614682	1773.243974056099	5906.110844567898	0.07510121299970299	2257.0340105824903	4575.354953992162	10884.010559944245	5.10717551873064	6331.543402901243	15134.237619053285	967.8400961843711	15392.195060929984	4728.986365728447	4745.047922791259	1734.3351343583188	9220.541179001168	14750.907215397463	99.62100238328603	1174.732111787527	4.777437797653441	13596.772781149493	1857.655902504728	0.6012324731258532	0.2921570389429519	15020.572013640132	426.9419269202752	14480.892069008583	1340.3551311235644	2701.9077033161234	15196.162639033815	15481.231100212313	4986.178965024093	244.01400367754172	15508.507692764304	5852.253628391547	0.1692544365201086	5177.2788490990415	924.3038287899813	15280.83929304704	13493.781536606088	12544.50775074263	15143.675295879599	120.30394970789962	5.145651793686485	12615.785781407329	3147.3095906380263	8431.121057418657	15428.518359133413	541.7807083145194	12484.162008455402	14369.442575496496
4	14177.35364831734	130.39861813021338	2608.1501208366967	4800.467571664843	2742.7761870043505	14377.462549535665	2824.4159430074214	18623.718563271996	16762.514906666518	2315.8988505534044	9144.388853990506	5235.678657552816	18623.683642251766	7392.329822520449	11245.314348623577	11935.740237995562	1501.1275412202738	19237.343048263985	401.05664124777246	12598.297378696141	7216.156174474124	1732.135057588929	13766.569476433991	8802.537258444208	18198.386102173674	874.0339238698733	872.7244903872501	15296.594737620542	1946.7968895268402	18397.56274212809	13902.92321221301	17881.986417882435	11707.15485095776	6320.065290040152	14290.85604155377	3692.6232549873835	3915.9487061328955	17337.756995438973	12697.911073116607	18829.52990026634	9748.205475872333	7815.481460054064	3621.096798198714	8722.3161841515	8378.390623611653	9067.024740645136	15114.072309062383	11125.460533571713	352.29728929847187	6943.256007076485	10009.16649059582	1193.1454056405516	9359.276159529389	18600.989219268013	3202.1338295120954	1338.574444056325	17516.214407468975	2721.5526003546133	10660.93238184725	5837.472992731947	19320.076181672808	10437.974894230427	2334.40087057755	12812.008054061085	10619.845143075901	2059.518254273785	17807.212612545853	7312.742239983353	18541.44911008039	10470.012922214633	16377.299930050141	12025.633029252791	1342.1207546121484	13441.32501774404	2141.9242048831297	6281.063444661178	1004.1462730312395	15360.288596289813	16204.212361410873	14633.863535250317	10128.751976647356	18667.544436947243	2604.981704867961	6139.129520391271	2981.462821412895	19277.870464831012	9556.371917490453	14749.248208342678	3411.8855487608193	8595.434539005924	14536.616997944673	10918.027166808553	7976.90847298307	18340.248104017584	2293.6011052193217	4138.25208140809	5601.869641258683	10203.905334886435	10477.852569262403	18255.165045124166
19	566.5305631373332	1391.7527113741978	4669.050214194437	7287.803624796665	2586.4014018202242	1045.9334587988005	2011.0116758759145	8.412820126877742	1150.8691917859223	2049.9117743523793	2207.7115124441425	1368.7328705000587	847.2300794857852	19.218246733624447	2832.4490140816933	454.28543053992894	9203.526009097279	724.2828329539947	2391.975011299316	1055.8220012760357	6236.022880075585	5156.2999266734005	1478.4980056511936	1321.2357310937289	37.28347915756745	9445.199454860345	2471.65782053256	1283.9683468400478	8075.892209520204	165.65708439042618	169.80265325865034	373.0839694432761	382.4885093637896	812.0315758614406	83.7449664198918	9452.035868746916	1761.9889136768925	192.7475032570605	556.564630417254	972.0096682968142	591.7560666051282	439.74248264328594	1566.0380551667058	4984.976436360011	1075.5594384844799	3217.9420407621637	26.0802309333378	2512.5548877026076	1648.0712169308963	6532.59026048486	506.59683816228323	204.20453195131068	73.6768525329305	154.19204173204983	1975.055417119508	10366.819642759567	392.0383968297867	9988.3939975125	2654.8530907125255	6791.347947730697	733.1704059180041	3667.5833800601667	1656.0519424990116	389.874401056903	2385.7039315679303	10092.965101651846	219.27592102616563	2750.669593494747	135.1457594980528	513.2669574412528	301.9296926439813	2531.715982299511	10404.81855849543	1473.6321592579122	2190.76020447266	5644.033672214036	10417.582623613496	375.22615883221977	199.42472468811903	2054.158260867572	4316.005089033975	430.1723110542178	1257.2842333966898	970.4130929371839	148.29475961462657	65.77049364124689	2811.321988797332	447.42876654992574	1637.5637079082449	694.9427772295584	288.28387414545386	176.08515434320833	427.5849901103019	168.57200966009918	502.1782485517486	524.7388098229279	7326.009781855601	1920.5610662713011	491.7233578885948	137.59766384433343
