GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0
0	0.6964493316841426	0.05994291910638636	0.21101136043478785	0.048557129923823675	0.3329595640483488
1	0.11118735164554816	0.9991258859117256	0.960279835202549	0.9990975990654707	0.6624271355755063
9	0.14793320979909405	0.14226807396663174	0.1400957392573172	0.13493628716138584	0.15535418968597176
2	0.1254416448296841	0.5981588486228231	0.5440040574303804	0.7343983267218903	0.6750957382730085
5	0.9365859741721231	0.17185795000136111	0.27625053285967116	0.05656310448954366	0.15164908914471292
3	0.9896048474920242	0.6706275671160418	0.5948391696117757	0.40357134340533213	0.20772592539896342
7	8.618002021964261E-4	0.09559172370706111	0.11828612179109543	0.44320082190371796	0.9659501848466173
4	0.7625148686443899	0.8996635694740459	0.7898911807274409	0.8470024066772297	0.07948314493893571
20	0.07419384204738007	0.033745390331134766	0.10229200612817309	0.050274127553949645	0.09098039957720994
6	0.02200366598740629	0.9564245070510162	0.9411591029947497	0.9990169336877022	0.9765138980762461
18	0.01764006700027967	0.8762009631731394	0.6925424493757557	0.9985880743479606	0.9764869587069391
8	0.9999995	0.9996582057273093	0.9993073889977625	0.5787508397739229	0.006742780805744111
15	0.11544790871025053	0.08461185600828827	0.031885427124333544	0.005141867140548467	8.760083059906717E-5
11	0.9955211389684466	0.998471255567514	0.9975132344840458	0.765285886141139	0.041835959965529544
10	0.007562990712129608	0.002332166432277674	0.0034312991250249644	0.0021453529800466286	0.006682405075853924
16	0.9897666891635996	0.9968506140125925	0.9944906302035991	0.9977126315244794	0.9927770086565272
13	0.9999185934247969	0.9999995	0.9999995	0.9999995	0.9999676063394547
23	0.006676822799834932	0.030023443892354222	0.02049489499964313	9.065217113395534E-4	0.0029274551250009963
12	0.3105046291823027	0.7008134205564315	0.021703930815798224	0.9087825160864405	0.1944054991489874
17	0.34281200421511815	0.6736931210336353	0.0013773885113013053	0.9450567107587374	0.13319221312482768
14	0.3600671461867601	0.05102477993280829	0.46433543644947634	0.5897090818437027	0.9761184879644859
24	0.03481810876749136	0.0427868688157979	0.10760631942995319	0.09542327559576863	0.0027467628156820786
19	0.5577614314922386	0.38890971858022877	0.9411518870586233	0.8528929181629713	0.10409124439978412
21	0.6063621185482388	0.5188733576162768	0.19220692156967195	0.34893734284947203	0.8836755839290072
22	0.919249471516293	0.5625842734557014	0.43660544044400057	0.9570798233877079	0.4363875496311154
