GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0
0	0.7961050878636277	0.19043598547506796	0.03587820862376156	0.2373291260057011	0.6437038737173726
11	0.1351474895547307	0.13838908736120253	0.10315272181447997	0.17400355488534489	0.06270386590881473
12	0.061493981019148186	0.9589608954082528	0.9998397799059977	0.9332905721113762	0.12321093720778653
1	0.1205407166522712	0.020197661156587183	0.8858780940246451	0.5752583307649304	0.957411167806857
24	0.7528780683940063	0.9999513464603423	0.16815187092369824	0.4358019591674069	0.0997084980104221
2	0.9867254075940796	0.317619220747323	0.7447270149752644	0.761835132702175	0.42289550359656924
21	0.005972681948944148	0.22725086014210927	0.03763002473582147	0.023949366103915477	0.013203607320398686
3	0.6949593525592884	0.1931851271876799	0.7414091531885445	0.7787578527510605	0.8157127956877497
4	0.14984882687208625	0.9137461503394105	0.15880472982223998	0.14977057823728918	0.11585038395672449
19	0.33120070080272807	0.04249181559786522	0.030247043737526767	0.16892458562877635	0.028310917914171778
13	0.25322566617636033	0.12914565854683074	0.04059074076025496	0.06478993946353598	0.990863510659246
5	0.38638162321057634	0.10751566999322826	0.8109371182869587	0.5117031275737989	0.2230243356352168
23	0.16186980101866377	0.4913189624504244	0.0026944832246685244	0.017154224066244672	0.4209083116901172
6	0.2715761197221405	0.3309436422879173	0.3773532611195767	0.09073448347290748	0.15745177494081553
8	0.8794479707911316	0.7530809533408762	0.6784069033857704	0.9955697175582949	0.9724167002371056
7	0.6192071034398765	0.206820396574576	0.8872356886091968	0.8480820326901435	0.10131787896005459
9	0.35459992671620255	0.8981912676043412	0.05505453438781261	0.10396599315935875	0.9772716789646121
15	0.41367315322261716	0.008883461495939056	0.9485894484170062	0.8610386143800124	4.7473818672004415E-4
18	0.6477294687033781	0.07998122490167461	0.9969535374385268	0.9896036811901636	0.015483848349921768
10	0.6450739316506644	0.8946363492927356	0.9642349963811282	0.8602120094184402	0.8424055220181172
14	0.6931904597975356	0.7784617254375883	0.11049886064607026	0.619923069997375	0.301957644381855
16	0.13141751468207302	0.11585808413789338	0.9995117189941406	0.2949023152422918	0.9603298193061558
17	0.01608315477147717	0.9922229039242035	0.7481125337792834	0.5340578546775092	0.8911237019303921
20	0.29297551876085237	0.02228299556301693	0.29839080635909315	0.9031684509464354	0.9677901067597852
22	0.7942106354023369	0.9999531600580215	0.8954048769649212	0.049288860372288794	0.02079066771633408
