GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0
0	0.8484033809914465	0.18461974712529192	0.03752236763261734	0.22425575669003606	0.6429589363715238	0.9544827002236024	0.8698152065332362	0.3747844496759428	0.5502358108655614	0.26654035738374526	0.19443417509080904	0.6414773639883586	0.804601954166265	0.15628685411586019	0.5736226646767042	0.6151447880402926	0.7988141200812935	0.1904966336310307	0.0034764482151254774	0.25333730574283553	0.9003809752447167	0.2875605737363096	0.0247701789381073	0.25935861849854425	0.8049444142537088
2	0.10833150826539746	0.9027214195599258	0.9965855133935511	0.9357854132642853	0.24067331885715051	0.03184163066153334	0.051087183775783584	0.6661108361594099	0.24519481859051329	0.7093782269904912	0.7998690731152077	0.24777854343259653	0.20682330404721108	0.8936825893591024	0.45238890353018874	0.31434779019438536	0.18999049258037887	0.8441627176844593	0.9999724522848128	0.6172876416112015	0.09778651052493693	0.7260146797952995	0.9981226498508144	0.8646135942815938	0.18906007890676127
6	0.003048217295759858	0.9630815840809852	0.2788693335508444	0.2857301614288268	0.11274072978841003	0.006600074933065148	0.0035265324776373964	0.7081278638179692	0.11944427392449458	0.7550459488877332	0.14579134488498005	0.14995472645107996	0.06458865725593954	0.7112061094994565	0.02988444344894691	0.21581138576695313	0.11941830946991588	0.20362506350463094	0.2694421574191575	0.09660529458138371	0.01602505485122199	0.7789704261737825	0.27524486744797527	0.24635276887285062	0.031770947847735716
1	0.11008534468305149	0.020507313316162987	0.8905933274216524	0.58145946630689	0.9537652791836477	0.30602314662568647	0.23772291372048016	0.06836947502631494	0.409074293268033	0.18523851552345064	0.8764321928739547	0.2736793410829327	0.04313763488990576	0.9857756366113628	0.14181001377114294	0.15776038144950252	0.1295731974124256	0.001752940147336448	0.3304406990451537	0.388576372351822	0.08468179148564528	0.9497945544638059	0.07491942260409384	0.650032808625565	0.4820626038229235
14	0.3411629294673155	0.9586344221403218	0.01272767536880807	0.03166943563815531	0.24192541159596173	0.3808879580541531	0.5916068390879567	0.9883684970221249	0.40283079295686475	0.1447886018028981	0.20555899829053573	0.7885479170059201	0.9594946605977069	0.017311974196415194	0.17524957812926337	0.7704839798457987	0.9641782955235548	0.9717425976182097	0.04753238779322419	0.6447963873976206	0.9341010595428837	0.16647547260114384	0.18261703526632314	0.026305803785812282	0.6596325723369402
3	0.9847487707681396	0.06530558198515254	0.0015377856658204663	0.05095013691019195	0.9284840434296613	0.9992513726385814	0.9956810937064416	0.3080911719506208	0.8808101815559534	0.1694574068238881	0.06284930370277003	0.7879386796688563	0.9064808186557596	0.036984587329921395	0.698292718798243	0.7892296193436447	0.903692714624188	0.12851877941533008	1.2146775654877948E-5	0.18285982977211326	0.9845934327974228	0.24018705823018366	9.664657235414222E-4	0.13587252473268419	0.941996331059821
9	0.005387397853677468	0.9964306665063934	0.9999995	0.9973645402296523	0.0866420406160386	3.2346495113013465E-4	0.00294442627791495	0.8676712319076142	0.06867259087337824	0.9474748500834972	0.9939887350097963	0.10044698528813549	0.04443663375421797	0.9989265213732093	0.29775144750964855	0.10740574715709546	0.04412606274159185	0.9523629070348815	0.9999995	0.9829759853344333	0.0071683343033860135	0.9404204193001754	0.9999995	0.9694326575716063	0.03330749235189904
16	0.9446270080816502	0.005530431259663203	0.04708514676115274	0.051577030736202914	0.9624474223682561	0.9992982362211865	0.9971016636371047	0.07574643476609491	0.8436109448130945	0.017649436503885802	0.02378404771080592	0.21248305972606563	0.9266243484533737	0.004902942620272692	0.66905555061627	0.2677625885546503	0.9702957218405888	0.01692516314035549	0.008208701075764773	0.10307845676422892	0.547840084806417	0.02067530467923156	0.009033384140112833	0.06113537580109549	0.8726069018567469
4	0.9900810096523519	0.3082164257204929	0.7672773318375951	0.7837646193078577	0.39059614586474534	0.8489835748127378	0.8990802916242931	0.05168440667668688	0.5144563806322943	0.4218427004059281	0.9019583260628473	0.2992211784781748	0.47678809377871295	0.422970230938734	0.9660775117643426	0.09501284861065272	0.3859344469832871	0.8134226666256171	0.7510002431055206	0.98778463521872	0.6637160953852111	0.12663250693040565	0.7158210706924208	0.7214881448265045	0.5760800610133967
19	0.0016352718889816663	0.8123387267347105	0.10062105880225933	0.06543488088200117	0.7383538492831769	0.05603893520049531	0.010518718768214448	0.999616428970493	0.37429560872467516	0.5498483363159672	0.01826145919448945	0.8784316313214601	0.40053914978436017	0.5752716254128025	0.006904081278372713	0.9986586789969998	0.8553806915626209	0.04799796465396502	0.08899851588764363	0.0020862431034853472	0.13736020344330366	0.9951411671415045	0.07113657986551807	0.07521566257103475	0.1301149248921569
5	0.7852777298989699	0.16737316950517717	0.6058330194730654	0.7483709035005601	0.7996896957112661	0.9718670116248489	0.45585333138850015	0.5404987224222977	0.41754749918933703	0.19153711787827543	0.7776365621396641	0.2925982507517627	0.016848889541964014	0.6754828741780731	0.5998266924136871	0.4026978435232594	0.9170785975214801	0.9359106438309077	0.3259762349962957	0.7543158243231629	0.24150976211938552	0.08558619836009378	0.9001556030810944	0.551627931331192	0.9273613391481973
