GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0
0	0.8305289218535915	0.44585915265960074	0.19627262050008396	0.9220137096845273	0.983680829710845	0.7858762335889727	0.21862482629350413	0.04082219994197891	0.8260640828871998	0.6907062367624766
9	0.028360627045163397	0.39075887809377763	0.9447240281114208	0.011343228258537185	0.001731951867087004	0.046793628473689265	0.932935579581602	0.9998953135299681	0.021257508828811184	0.06622267750070418
1	0.1314767938248747	0.46743704393636515	0.6235717795856892	0.0667133660589344	0.23381136711840972	0.17506245426480832	0.42209268972996306	0.9923827133541804	0.33391283275840916	0.018473747332929412
16	0.9587481803861662	0.3060440320812695	0.014570896493341569	0.9947087977601866	0.8685595365650804	0.8965639048379251	0.024461950775459103	8.620984197326584E-5	0.7206559078401886	0.9997013663596165
2	0.9875253734782744	0.3017199937708815	0.3813846290347862	0.5864472989196273	0.4014350037379563	0.6589697213680332	0.9092186801642855	0.8684889558070151	0.3877829052927925	0.26464453664747584
22	0.03147569581932712	0.0471514656699946	0.04374030629438995	0.3526340002303844	0.013524402258463035	0.025104215315664206	0.010848008160683462	0.08723309524526827	0.4747899044002282	0.9539663726959612
3	0.8307953147293913	0.8050179133144377	0.4786436063348593	0.18385295697123355	0.024539359714423614	0.9960994581128662	0.365852262471099	0.859024448073893	6.030767164629065E-4	0.4262508225853314
12	0.08590009166160874	0.0586107313576879	0.5671189453630398	0.9899329190205898	0.9999995	0.0010028605761033225	0.8605576724195143	0.032074618244498	0.9999995	0.7646525733530468
4	0.33915649444261176	0.64776710943116	0.2696100870469664	0.9929653916234773	0.4802508199851701	0.05651702025233222	0.978777967753711	0.6765392599714827	0.4778079594871227	0.6499999171947685
10	0.7835282175080976	0.12878987376944348	0.9142999769715009	8.92145501450004E-4	0.35921610094466894	0.9997304634932555	0.002535402401673762	0.11455151389196269	0.40588035397178684	0.14297846907681216
5	0.2820293816624288	0.4195042249080494	0.30353507490081894	0.7663036925643162	0.4694009063942231	0.2037818087556322	0.9937103389044631	0.8532174506177735	0.7081237516082953	0.9166263076825409
19	0.13485573982882848	0.4104663157861913	0.1679209751753613	0.9597210646668554	0.5598421783883106	0.02440589407046869	0.9993370815234425	0.9850238212906243	0.938885335072406	0.9900470290755671
6	0.4671651649498069	0.5151020813225227	0.8028952240827919	0.13485245178352637	0.7207617910703659	0.5885222568667257	0.8030364613091924	0.15940003682037862	0.4483593297079348	0.1264057845583501
7	0.5739251335825682	0.6750597878156835	0.7840845855368036	0.7416370166704563	0.17639206953862585	0.7893548345205567	0.26779260758403767	0.6583348985900164	0.9912967461822634	0.20659691987207734
11	0.6857700174102077	0.7691224935416731	0.8543397681093277	0.835900115225588	0.08853277274457316	0.8894769344346519	0.1697051089690543	0.7045978617104064	0.9961571797976875	0.13160693336291085
21	0.43161658504739375	0.2724923883405721	0.005005589558932185	0.10174058281740439	0.17772172462894048	0.20610131118510527	0.004752531686003231	0.007207541807911343	0.03765917087120347	0.1859374491947388
8	0.7553435699511288	0.9197423424627413	0.9532992943648049	0.21173423461631496	0.34152397694092357	0.793125806223085	0.17739918021020254	0.2750891690588606	0.12247957074596054	0.030874431225442204
13	0.1562684839221953	0.034374761620929846	0.017479027331893084	0.9715933979907279	0.8809204105543038	0.13036818268411596	0.9855083288317938	0.9197173655817605	0.9970212846964513	0.9999995
18	0.974226589415845	0.999830600431564	0.9999724522848128	0.011075172371408556	0.09323125362306298	0.9821799011734683	0.00627529475691607	0.03230266413342183	0.0013569288450363814	2.2312293347144194E-7
14	0.016758947510571703	0.19170090926447558	0.6156511808883346	0.6665089515598847	0.8782639662941257	0.366656139947483	0.9939632566233426	0.49680814255207795	0.8050534490528328	0.8663653423425881
15	0.29642495923820295	0.9099134480801425	0.48368705583355703	0.3107743698832521	0.9203044186396145	0.6738264476505542	0.3462443810642855	0.349299279894468	0.12498970538436051	0.1109331341356426
17	0.11630148189645574	0.9379867835160387	0.14674638974596524	0.9278072731927038	0.2551269614030371	0.170487145179782	0.16605551849204517	0.9638415041049262	0.73172693159506	0.1864511591883527
20	0.9571769860861965	0.01663560239322473	0.9283888328540172	0.01934125918755051	0.8260350703712662	0.8674785355671647	0.8881888871135306	0.009147867693734157	0.08536663689041094	0.8453597924151858
23	0.19273586180650437	0.2547067138352226	0.9834798887064403	0.39296189130327275	0.993765938926477	0.5676841346968646	0.63288930307781	0.22521211412654368	0.0860314042487666	0.8948961823124744
24	0.9355246029607478	0.8731904637094747	0.001113401154807536	0.5472327840343297	4.2563342199776016E-4	0.1609141660747361	0.10025053795790023	0.946021588501552	0.9992892867870373	0.01367695973373851
